"Fact","Fact Note","Imperial County, California","Value Note for Imperial County, California","Kern County, California","Value Note for Kern County, California","Santa Barbara County, California","Value Note for Santa Barbara County, California","Ventura County, California","Value Note for Ventura County, California"
"Population estimates, July 1, 2025, (V2025)","","NA","","NA","","NA","","NA",""
"Population estimates, July 1, 2024, (V2024)","","181,724","","922,529","","444,500","","835,427",""
"Population estimates base, April 1, 2020, (V2025)","","NA","","NA","","NA","","NA",""
"Population estimates base, April 1, 2020, (V2024)","","179,710","","909,233","","448,217","","844,363",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2025, (V2025)","","NA","","NA","","NA","","NA",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.1%","","1.5%","","-0.8%","","-1.1%",""
"Population, Census, April 1, 2020","","179,702","","909,235","","448,229","","843,843",""
"Population, Census, April 1, 2010","","174,528","","839,631","","423,895","","823,318",""
"Persons under 5 years, percent","","6.7%","","6.6%","","6.1%","","5.2%",""
"Persons under 18 years, percent","","27.9%","","27.9%","","22.2%","","21.1%",""
"Persons 65 years and over, percent","","14.2%","","12.4%","","17.4%","","18.6%",""
"Female persons, percent","","48.5%","","49.3%","","50.0%","","50.3%",""
"White alone, percent","","89.8%","","81.2%","","84.7%","","82.8%",""
"Black alone, percent","(a)","3.2%","","6.1%","","2.3%","","2.5%",""
"American Indian and Alaska Native alone, percent","(a)","2.9%","","2.8%","","2.2%","","2.0%",""
"Asian alone, percent","(a)","2.2%","","6.1%","","6.4%","","8.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.2%","","0.3%","","0.3%","","0.3%",""
"Two or More Races, percent","","1.7%","","3.4%","","4.1%","","3.9%",""
"Hispanic or Latino, percent","(b)","86.6%","","57.8%","","49.3%","","45.3%",""
"White alone, not Hispanic or Latino, percent","","8.6%","","29.2%","","40.3%","","41.7%",""
"Veterans, 2020-2024","","4,439","","31,813","","15,770","","33,062",""
"Foreign-born persons, percent, 2020-2024","","31.6%","","20.2%","","22.2%","","22.2%",""
"Housing Units, July 1, 2024, (V2024)","","58,995","","312,134","","162,351","","298,400",""
"Owner-occupied housing unit rate, 2020-2024","","56.8%","","60.1%","","52.4%","","64.6%",""
"Median value of owner-occupied housing units, 2020-2024","","$309,600","","$338,300","","$790,700","","$822,700",""
"Median selected monthly owner costs - with a mortgage, 2020-2024","","$1,774","","$1,968","","$2,973","","$3,105",""
"Median selected monthly owner costs - without a mortage, 2020-2024","","$554","","$631","","$831","","$847",""
"Median gross rent, 2020-2024","","$1,056","","$1,300","","$2,131","","$2,317",""
"Building Permits, 2024","","253","","3,244","","750","","1,648",""
"Households, 2020-2024","","49,644","","284,931","","149,608","","280,360",""
"Persons per household, 2020-2024","","3.49","","3.12","","2.81","","2.94",""
"Living in the same house 1 year ago, percent of persons age 1 year+ , 2020-2024","","91.3%","","91.1%","","84.8%","","91.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2020-2024","","75.3%","","45.7%","","40.5%","","38.4%",""
"Households with a computer, percent, 2020-2024","","94.3%","","95.2%","","96.4%","","96.9%",""
"Households with a broadband Internet subscription, percent, 2020-2024","","90.1%","","91.6%","","92.5%","","94.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2020-2024","","71.5%","","77.0%","","81.9%","","85.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2020-2024","","16.1%","","18.8%","","36.8%","","36.1%",""
"With a disability, under age 65 years, percent, 2020-2024","","9.5%","","9.0%","","7.6%","","7.3%",""
"Persons without health insurance, under age 65 years, percent","","8.4%","","9.3%","","10.3%","","8.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2020-2024","","52.8%","","58.5%","","61.8%","","63.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2020-2024","","49.0%","","53.6%","","57.6%","","57.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","316,893","","2,111,941","","2,848,954","","2,777,468",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","769,762","","5,727,357","","4,363,756","","6,488,001",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","563,998","","2,689,976","","1,137,614","","1,403,610",""
"Total retail sales, 2022 ($1,000)","(c)","2,742,027","","13,442,643","","7,392,491","","15,868,015",""
"Total retail sales per capita, 2022","(c)","$15,324","","$14,663","","$16,653","","$19,052",""
"Mean travel time to work (minutes), workers age 16 years+, 2020-2024","","22.1","","24.4","","20.8","","25.6",""
"Median households income (in 2024 dollars), 2020-2024","","$57,681","","$70,210","","$98,161","","$109,797",""
"Per capita income in past 12 months (in 2024 dollars), 2020-2024","","$23,552","","$29,699","","$48,028","","$49,748",""
"Persons in poverty, percent","","18.8%","","18.6%","","15.7%","","9.5%",""
"Total employer establishments, 2023","","2,677","","14,352","","12,484","","22,992",""
"Total employment, 2023","","34,323","","219,016","","160,460","","273,697",""
"Total annual payroll, 2023 ($1,000)","","1,610,625","","12,391,687","","11,082,847","","18,174,515",""
"Total employment, percent change, 2022-2023","","1.0%","","5.9%","","2.5%","","1.7%",""
"Total nonemployer establishments, 2023","","10,887","","56,878","","34,724","","70,862",""
"All employer firms, Reference year 2022","","2,060","","10,551","","10,121","","18,708",""
"Men-owned employer firms, Reference year 2022","","1,129","","6,495","","5,657","","11,373",""
"Women-owned employer firms, Reference year 2022","","353","","S","","2,088","","3,816",""
"Minority-owned employer firms, Reference year 2022","","1,091","","3,881","","2,290","","5,474",""
"Nonminority-owned employer firms, Reference year 2022","","605","","5,397","","6,466","","11,475",""
"Veteran-owned employer firms, Reference year 2022","","S","","S","","470","","799",""
"Nonveteran-owned employer firms, Reference year 2022","","1,693","","8,839","","8,397","","16,384",""
"Population per square mile, 2020","","43.0","","111.8","","164.0","","458.4",""
"Population per square mile, 2010","","41.8","","103.3","","155.0","","446.7",""
"Land area in square miles, 2020","","4,175.54","","8,134.65","","2,733.94","","1,840.79",""
"Land area in square miles, 2010","","4,176.60","","8,131.92","","2,735.09","","1,843.13",""
"FIPS Code","","""06025""","","""06029""","","""06083""","","""06111""",""
"","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","",""
"","","","","","","","","",""
"Value Notes","","","","","","","","",""
"None","","","","","","","","",""
"","","","","","","","","",""
"Fact Notes","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","",""
"","","","","","","","","",""
"Value Flags","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","",""
"NA","Not available","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","",""
"X","Not applicable","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","",""
